id,word,definition,type,synonyms,wrong,sentence,imageURL,createdAt,updatedAt
11,malinger,Exaggerate or feign illness in order to escape duty or work.,Verb,"[""Shirk"", ""Sham"", ""Fake"", ""Dodge""]","[""Linger"", ""Malign"", ""Mistake"", ""Confront"", ""Permanent"", ""Boom"", ""Disparate"", ""Malicious"", ""Magnate""]",,,8/25/2019 0:00,8/25/2019 0:00
12,emulate,"Match or surpass, typically by imitation.",Verb,"[""Imitate"", ""Copy"", ""Reproduce"", ""Mimic"", ""Mirror""]","[""Amulet"", ""Radiate"", ""Ignore"", ""Malinger"", ""External"", ""Transitory"", ""Individual"", ""Unique"", ""Escalate""]",,,8/25/2019 0:00,8/25/2019 0:00
13,daunt,Make (someone) feel intimidated or apprehensive.,Verb,"[""Intimidate"", ""Discourage"", ""Ruffle"", ""Demoralize"", ""Shake"", ""Dishearten"", ""Scare"", ""Terrify"", ""Dispirit""]","[""Encourage"", ""Imitate"", ""Taunt"", ""Tight"", ""Irritable"", ""Fake"", ""Penurious"", ""Deceptive"", ""Throttle"", ""Burgeon""]",,,8/25/2019 0:00,8/25/2019 0:00
14,aberrant,Departing from an accepted standard.,Adjective,"[""Deviant"", ""Divergent"", ""Abnormal"", ""Atypical"", ""Digressive"", ""Irregular""]","[""Emulate"", ""Imitate"", ""Intimidate"", ""Irritable"", ""Annoying"", ""Brash"", ""Argumentative"", ""Disobedient""]",,,8/25/2019 0:00,8/25/2019 0:00
15,notorious,"Famous or well known, typically for some bad quality or deed.",Adjective,"[""Infamous"", ""Scandalous"", ""Ill-famed"", ""Flagrant""]","[""Moral"", ""Inconspicuous"", ""Unknown"", ""Honored"", ""Grouchy"", ""Discouraging"", ""Cunning"", ""Stingy"", ""Noisy""]",,,8/25/2019 0:00,8/25/2019 0:00
16,impervious,1) Not allowing fluid to pass through. 2) Unable to be affected by.,Adjective,"[""Impermeable"", ""Impenetrable"", ""Waterproof"", ""Impregnable"", ""Immune"", ""Resistant""]","[""Penetrable"", ""Susceptible"", ""Open"", ""Responsive"", ""Vulnerable"", ""Permanent"", ""Impermanent"", ""Irregular""]",,,8/25/2019 0:00,8/25/2019 0:00
17,incorrigible,"(of a person or their tendencies) not able to be corrected, improved, or reformed.",Adjective,"[""Habitual"", ""Unapologetic"", ""Unashamed"", ""Chronic"", ""Incurable"", ""Irredeemable""]","[""Reformable"", ""Irritable"", ""Disagreeable"", ""Unfriendly"", ""Manageable"", ""Temporary"", ""Unintelligent""]",,,8/25/2019 0:00,8/25/2019 0:00
18,reclusive,Avoiding the company of other people; solitary.,Adjective,"[""Solitary"", ""Secluded"", ""Isolated"", ""Withdrawn"", ""Hermetic"", ""Antisocial"", ""Reserved""]","[""Gregarious"", ""Sociable"", ""Repeating"", ""Popular"", ""Impervious"", ""Reproducible"", ""Salubrious"", ""Irregular"", ""Disheartening""]",,,8/25/2019 0:00,8/25/2019 0:00
19,perspicacious,Having a ready insight into and understanding of things.,Adjective,"[""Discerning"", ""Perceptive"", ""Astute"", ""Percipient"", ""Sharp-witted"", ""Intelligent"", ""Insightful""]","[""Ignorant"", ""Rainy"", ""Sweaty"", ""Unperceptive"", ""Dim-witted"", ""Impregnable"", ""Changeable""]",,,8/25/2019 0:00,8/25/2019 0:00
20,fervor,Intense and passionate feeling.,Noun,"[""Passion"", ""Ardor"", ""Zeal"", ""Earnestness"", ""Keenness"", ""Enthusiasm"", ""Vigor"", ""Zest""]","[""Ignorant"", ""Apathy"", ""Indifference"", ""Impregnable"", ""Hot-tempered"", ""Lassitude"", ""Focus""]",,,8/25/2019 0:00,8/25/2019 0:00
21,lassitude,A state of physical or mental weariness; lack of energy.,Noun,"[""Lethargy"", ""Weariness"", ""Tiredness"", ""Exhaustion"", ""Fatigue"", ""Sleepiness""]","[""Fervor"", ""Liveliness"", ""Attitude"", ""Habitual"", ""Unfocused"", ""Enthusiasm"", ""Stealthy"", ""Openness""]",,,8/25/2019 0:00,8/25/2019 0:00
22,facetious,Treating serious issues with deliberately inappropriate humor; flippant.,Adjective,"[""Flippant"", ""Frivolous"", ""Whimsical"", ""Joking"", ""Jocular"", ""Playful"", ""Mischievous""]","[""Formal"", ""Hermetic"", ""Serious"", ""Unashamed"", ""Infamous"", ""Facial"", ""Tireless"", ""Disarming"", ""Burgeoning""]",,,8/25/2019 0:00,8/25/2019 0:00
